origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.7000000000000001,2.075243132879696
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.7500000000000001,2.2266393002463776
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.8,2.475026494365846
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.8500000000000001,2.822563494365846
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.9000000000000001,3.308264421103016
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.95,4.095824663510693
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.975,5.505673699583164
2016-05-14,2016-06-04,3,HHS Region 2,ili perc,quantile,0.99,6.508221136390881
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.01,0
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.025,0
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.05,0
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.1,0
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.15000000000000002,0.1670586575864974
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.2,0.466695021763998
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.25,0.6814678038047477
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.3,0.8386474499942994
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.35000000000000003,0.9852104063074476
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.4,1.0878281296497176
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.45,1.1454778038047475
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.5,1.252939119124188
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.55,1.361632603804748
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.6000000000000001,1.428015003804748
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.6500000000000001,1.469612153804748
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.7000000000000001,1.5701278038047477
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.7500000000000001,1.712933515255146
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.8,1.956240403854204
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.8500000000000001,2.2246378038047476
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.9000000000000001,2.495544123396718
2016-05-14,2016-05-21,1,HHS Region 3,ili perc,quantile,0.95,3.528147803804748
